[[848, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[213, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[611, 0], [0, 0], [0, 0], [0, 0], [-28632, 45856], [0, 0], [0, 0], [0, 0], [9632, -8720], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[176, 0], [0, 0], [0, 0], [0, 0], [-20688, -24184], [0, 0], [0, 0], [0, 0], [3624, 6592], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[726, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[155, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[942, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[689, 0], [0, 0], [0, 0], [0, 0], [43368, 38272], [0, 0], [0, 0], [0, 0], [-8320, -11024], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[270, 0], [0, 0], [0, 0], [0, 0], [10704, 45008], [0, 0], [0, 0], [0, 0], [16, -10720], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[668, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[17, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[252, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[783, 0], [0, 0], [0, 0], [0, 0], [80664, -11792], [0, 0], [0, 0], [0, 0], [-20304, -1840], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

